Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"78586","Needs No Label","GB","Not Joined","Enhanced","F94","","English","Retail","2026-01-20 07:04:51","2026-01-20 07:04:51","738","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F94.csv.gz"
"115775","PAOLITA","GB","active","Enhanced","F105","","English","Retail","2026-01-20 07:06:18","2026-01-20 07:06:18","1333","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F105.csv.gz"
"115655","Eco Ride Zone","GB","Not Joined","Enhanced","F122","","English","Retail","2026-01-20 11:04:22","2026-01-20 11:04:22","227","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F122.csv.gz"
"115783","Horow DE","DE","Not Joined","Enhanced","F123","","German","Retail","2025-12-18 06:55:23","2025-12-18 06:55:23","293","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F123.csv.gz"
"115879","Super Genius Society","US","Not Joined","Enhanced","F128","","English","Retail","2026-01-20 10:49:40","2026-01-20 10:49:40","120","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F128.csv.gz"
"69790","Doulton","GB","Not Joined","Enhanced","F153","","English","Retail","2026-01-20 07:03:06","2026-01-20 07:03:06","72","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F153.csv.gz"
"115070","Foreverlyfe","US","Not Joined","Enhanced","F167","","English","Retail","2026-01-20 10:47:42","2026-01-20 10:47:42","31","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F167.csv.gz"
"86627","GreatBeanBags.com","US","Not Joined","Enhanced","F174","","English","Retail","2025-06-24 22:41:25","2025-06-24 22:41:25","215","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F174.csv.gz"
"115929","Audiobooks for everyone","US","Not Joined","Enhanced","F176","","English","Retail","2026-01-20 07:07:30","2026-01-20 07:07:30","118","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F176.csv.gz"
"29549","BINU-Beauty Natural Korean Cosmetics DE","DE","Not Joined","Enhanced","F182","","German","Retail","2026-01-20 10:44:57","2026-01-20 10:44:57","47","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F182.csv.gz"
"116483","MacAlyster FR","FR","active","Enhanced","F192","","French","Retail","2026-01-20 10:51:22","2026-01-20 10:51:22","1511","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F192.csv.gz"
"109636","Back to the Pets","GB","Not Joined","Enhanced","F195","","English","Retail","2025-06-04 06:43:39","2025-06-04 06:43:39","7397","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F195.csv.gz"
"116527","DXB CHOC","GB","Not Joined","Enhanced","F199","","English","Retail","2026-01-20 07:17:57","2026-01-20 07:17:57","9","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F199.csv.gz"
"116665","isletan","US","Not Joined","Enhanced","F206","","English","Retail","2026-01-20 10:54:36","2026-01-20 10:54:36","12","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F206.csv.gz"
"116677","Atenai London Affiliation Marketing","GB","Not Joined","Enhanced","F208","","English","Retail","2026-01-20 06:55:58","2026-01-20 06:55:58","44","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F208.csv.gz"
"116697","Falenashop","IT","Not Joined","Enhanced","F216","","Italian","Retail","2026-01-20 06:59:28","2026-01-20 06:59:28","1411","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F216.csv.gz"
"113464","BRUH. Skincare","US","Not Joined","Enhanced","F224","","English","Retail","2026-01-20 07:30:45","2026-01-20 07:30:45","18","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F224.csv.gz"
"30995","ZONLIHOME (US)","US","Not Joined","Enhanced","F231","","English","Retail","2026-01-20 11:02:53","2026-01-20 11:02:53","497","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F231.csv.gz"
"116701","LUXDRAPE","US","Not Joined","Enhanced","F248","","English","Retail","2026-01-20 10:46:01","2026-01-20 10:46:01","746","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F248.csv.gz"
